gene	disease
ACTA1	Myopathy, scapulohumeroperoneal;Myopathy, actin, congenital, with cores;Nemaline myopathy 3, autosomal dominant or recessive;Nemaline myopathy 3;Congenital muscular dystrophy with rigid spine;Congenital myopathy with fiber type disproportion;Myopathy, actin, congenital, with excess of thin myofilaments;Congenital myopathy;Inborn genetic diseases
ACTA2	Aortic aneurysm, familial thoracic 6;Cardiovascular phenotype;Thoracic aortic aneurysm and aortic dissection
ACTB	Baraitser-Winter syndrome 1;Juvenile-onset dystonia;Inborn genetic diseases
ACTC1	Dilated cardiomyopathy 1R;Atrial septal defect 5;Cardiomyopathy;Primary familial hypertrophic cardiomyopathy;Primary dilated cardiomyopathy;Inborn genetic diseases;Wolff-Parkinson-White pattern;Familial hypertrophic cardiomyopathy 11
ACTG1	Deafness, autosomal dominant 20;Baraitser-Winter Syndrome 2;Inborn genetic diseases;Nonsyndromic hearing loss and deafness
ACTG2	Visceral myopathy;Chronic intestinal pseudoobstruction;Inborn genetic diseases;Megacystis
ACTL6A	Broad nasal tip;Umbilical hernia;Torticollis;Inguinal hernia;Atrial septal defect;Syncope;Coarse facial features;Aplasia/Hypoplasia of the nails;Cleft anterior mitral valve leaflet;Delayed speech and language development;Recurrent otitis media;Broad thumb;Gastroesophageal reflux
ACTL6B	Global developmental delay;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 76;Intellectual disability;INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS;ACTL6B-related neurodevelopmental disorder
ACTN1	Platelet-type bleeding disorder 15
ACTN2	Familial hypertrophic cardiomyopathy 23;Arrhythmogenic right ventricular cardiomyopathy;Cardiovascular phenotype;Dilated cardiomyopathy 1AA;Cardiomyopathy
ACTN4	Focal segmental glomerulosclerosis 1
ACVR1	Adenocarcinoma of stomach;Progressive myositis ossificans;Brainstem glioma;Inborn genetic diseases
ACVR1B	Carcinoma of pancreas
ACVR2B	Heterotaxy, visceral, 4, autosomal
ACVRL1	Pulmonary arterial hypertension related to hereditary hemorrhagic telangiectasia;Osler hemorrhagic telangiectasia syndrome;Hereditary hemorrhagic telangiectasia type 2;Haemorrhagic telangiectasia 2;Primary pulmonary hypertension
ACY1	Aminoacylase 1 deficiency
ADA	Severe combined immunodeficiency disease;Severe combined immunodeficiency due to ADA deficiency;SCID due to ADA deficiency, delayed onset;Partial adenosine deaminase deficiency
ADA2	Behcets syndrome;Splenomegaly;Idiopathic livedo reticularis with systemic involvement;Polyarteritis nodosa, childhoood-onset
ADAM10	Reticulate acropigmentation of Kitamura;Alzheimer disease 18
ADAM17	Inflammatory skin and bowel disease, neonatal 1
ADAM22	Early infantile epileptic encephalopathy 61
ADAM9	Cone-rod dystrophy 9
ADAMTS10	Weill-Marchesani syndrome 1
ADAMTS13	Thrombotic thrombocytopenic purpura;Upshaw-Schulman syndrome
ADAMTS17	Weill-Marchesani-like syndrome
ADAMTS18	Microcornea, myopic chorioretinal atrophy, and telecanthus
ADAMTS2	Ehlers-Danlos syndrome, type vii, autosomal recessive
ADAMTS3	HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 3
ADAMTSL2	Geleophysic dysplasia 1
ADAMTSL4	Ectopia lentis et pupillae;Ectopia lentis, isolated autosomal recessive
ADAR	Symmetrical dyschromatosis of extremities;Aicardi-Goutieres syndrome 6;Inborn genetic diseases
ADAT3	Mental retardation, autosomal recessive 36
ADCY1	Deafness, autosomal recessive 44
ADCY10	Abnormal sperm morphology;Reduced sperm motility
ADCY3	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 19
ADCY5	Dyskinesia, familial, with facial myokymia;Inborn genetic diseases
ADCY6	Lethal congenital contracture syndrome 8
ADD3	Cerebral palsy, spastic quadriplegic, 3;Cerebral palsy
ADGRB2	Progressive spastic paraparesis
ADGRB3	Short stature
ADGRE2	Vibratory urticaria
ADGRG1	Strabismus;Generalized seizures;Global developmental delay;Visual impairment;Generalized weakness of limb muscles;Pachygyria;Polymicrogyria, bilateral perisylvian, autosomal recessive;Inborn genetic diseases;Polymicrogyria, bilateral frontoparietal;Intellectual disability, moderate
ADGRG2	Congenital bilateral absence of the vas deferens;Vas deferens, congenital bilateral aplasia of, X-linked
ADGRG6	Arthrogryposis multiplex congenita;Lethal congenital contracture syndrome 9
ADGRV1	Usher syndrome type 2c, GPR98/PDZD digenic;Usher syndrome, type 2C;Usher syndrome;Autosomal recessive sensorineural hearing loss;Usher syndrome, type 1;Retinal dystrophy;Febrile seizures, familial, 4
ADH1C	Parkinson disease, mitochondrial
ADIPOQ	Serum level of adiponectin 1;Hypoadiponectinemia
ADK	Hypermethioninemia due to adenosine kinase deficiency
ADNP	intellectual deficiency;Autism, severe;Helsmoortel-van der aa syndrome;Inborn genetic diseases
ADPRHL2	NEURODEGENERATION, CHILDHOOD-ONSET, STRESS-INDUCED, WITH VARIABLE ATAXIA AND SEIZURES
ADRA2B	Epilepsy, familial adult myoclonic 2
ADRB2	Asthma, nocturnal, susceptibility to
ADRB3	Obesity
ADSL	Adenylosuccinate lyase deficiency
ADSSL1	Myopathy, distal, 5
AEBP1	EHLERS-DANLOS SYNDROME, CLASSIC-LIKE, 2
AFF2	Schizophrenia;FRAXE;Autistic disorder of childhood onset;Inborn genetic diseases
AFF4	Chops syndrome
AFG3L2	Spastic ataxia 5, autosomal recessive;Optic atrophy;Spinocerebellar ataxia 28
AFP	Alpha-fetoprotein deficiency
AGA	Aspartylglucosaminuria;Aspartylglucosaminuria, finnish type
AGBL1	Corneal dystrophy, Fuchs endothelial, 8
AGBL2	Abnormality of brain morphology
AGBL5	Retinitis pigmentosa 75
AGK	Cataract, autosomal recessive congenital 5;Sengers syndrome;Inborn genetic diseases
AGL	Glycogen storage disease IIIa;Glycogen storage disease IIIc;Glycogen storage disease type III;Inborn genetic diseases;Glycogen storage disease IIIb
AGPAT2	Congenital generalized lipodystrophy type 1
AGPS	Rhizomelic chondrodysplasia punctata type 3
AGRN	Congenital myasthenic syndrome;Myasthenic syndrome, congenital, 8
AGT	Renal dysplasia
AGTPBP1	Global developmental delay;NEURODEGENERATION, CHILDHOOD-ONSET, WITH CEREBELLAR ATROPHY;AGTPBP1-related condition;Motor polyneuropathy;Aplasia/Hypoplasia of the cerebellum
AGTR1	Renal dysplasia
AGXT	Primary hyperoxaluria, type I;Nephrolithiasis;Nephrocalcinosis;Primary hyperoxaluria
AHCY	Hypermethioninemia with s-adenosylhomocysteine hydrolase deficiency
AHDC1	Cerebral visual impairment and intellectual disability;Sleep apnea;Intellectual disability;Cerebellar vermis hypoplasia;Global developmental delay;Delayed speech and language development;Neonatal hypotonia;Xia-Gibbs syndrome;Muscular hypotonia;Abdominal obesity-metabolic syndrome 3
AHI1	Global developmental delay;Retinitis pigmentosa;Abnormality of the eye;Joubert syndrome;Leber congenital amaurosis;Typical Joubert syndrome MRI findings;Joubert syndrome 3
AHR	Infantile nystagmus with foveal hypoplasia;Retinitis pigmentosa 85
AHSG	Alopecia mental retardation syndrome 1
AICDA	Immunodeficiency with hyper IgM type 2
AIFM1	Sensorineural hearing loss;Foot dorsiflexor weakness;Distal muscle weakness;Cowchock syndrome;Combined oxidative phosphorylation deficiency 6;Pes planus;Deafness, X-linked 5;Leukodystrophy
AIMP1	Leukodystrophy, hypomyelinating 3
AIMP2	Inborn genetic diseases
AIP	Pituitary adenoma, familial isolated;Pituitary adenoma predisposition;Somatotroph adenoma
AIPL1	Leber congenital amaurosis 4
AIRE	Polyglandular autoimmune syndrome, type 1;Autoimmune polyglandular syndrome type 1, with reversible metaphyseal dysplasia;Autoimmune polyglandular syndrome type 1, autosomal dominant
AK1	Adenylate kinase deficiency, hemolytic anemia due to
AK2	Reticular dysgenesis
AK7	SPERMATOGENIC FAILURE 27
AKAP10	Cardiac conduction defect, susceptibility to
AKAP9	Long QT syndrome;Long QT syndrome 11
AKR1C2	46,XY sex reversal 8
AKR1C4	46,XY sex reversal 8
AKR1D1	Bile acid synthesis defect, congenital, 2
AKT1	Squamous cell lung carcinoma;Cutaneous melanoma;Lung adenocarcinoma;Uterine cervical neoplasms;Carcinoma of colon;Prostate neoplasm;Squamous cell carcinoma of the head and neck;Adenocarcinoma of stomach;Neoplasm of the breast;Hepatocellular carcinoma;Meningeal Neoplasms;Breast adenocarcinoma;Osteosarcoma;Proteus syndrome;Neoplasm of the thyroid gland;Transitional cell carcinoma of the bladder;Neoplasm of ovary;Cowden syndrome 6;Small cell lung cancer;Neoplasm of the large intestine;Non-small cell lung cancer;Malignant melanoma of skin;Endometrial Endometrioid Adenocarcinoma, Variant with Squamous Differentiation;Adenocarcinoma of prostate
AKT2	Neoplasm of the large intestine;Non-small cell lung cancer;Diabetes mellitus type 2;Hypoinsulinemic hypoglycemia and hemihypertrophy
AKT3	Global developmental delay;Capillary hemangiomas;Megalencephaly cutis marmorata telangiectatica congenita;Macrocephalus;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2;Polymicrogyria;Inborn genetic diseases
ALAD	Porphobilinogen synthase deficiency
ALAS2	Hereditary sideroblastic anemia;Protoporphyria, erythropoietic, X-linked
ALB	Analbuminemia baghdad;Analbuminemia;ALBUMIN B;ALBUMIN BLENHEIM;Ehlers-Danlos syndrome, procollagen proteinase deficient
ALDH18A1	Cutis laxa, autosomal dominant 3;Spastic paraplegia 9;Spastic paraplegia 5A;Cutis laxa-corneal clouding-oligophrenia syndrome;Spastic paraplegia 9b, autosomal recessive
ALDH1A3	Isolated anophthalmia-microphthalmia syndrome;Autistic disorder of childhood onset;Microphthalmia, isolated 8
ALDH2	Alcohol dependence;Acute alcohol sensitivity;Susceptibility to hangover;Sublingual nitroglycerin, susceptibility to poor response to;Esophageal cancer, alcohol-related, susceptibility to
ALDH3A2	Sjögren-Larsson syndrome
ALDH4A1	Deficiency of pyrroline-5-carboxylate reductase
ALDH5A1	Succinate-semialdehyde dehydrogenase deficiency;Inborn genetic diseases
ALDH6A1	Methylmalonate semialdehyde dehydrogenase deficiency
ALDH7A1	Abnormality of brain morphology;Pyridoxine-dependent epilepsy;Seizures
ALDOA	HNSHA due to aldolase A deficiency
ALDOB	Hereditary fructosuria
ALG1	Congenital disorder of glycosylation type 1K
ALG10	Long QT syndrome 2
ALG11	Congenital disorder of glycosylation type 1P
ALG12	ALG12-congenital disorder of glycosylation
ALG13	Osteopenia;Infantile spasms;Global developmental delay;Microcephaly;Epileptic encephalopathy, early infantile, 36;Cortical visual impairment
ALG14	Myasthenic syndrome, congenital, 15
ALG2	Congenital disorder of glycosylation type 1I;Myasthenic syndrome, congenital, 14
ALG3	Inborn genetic diseases;Congenital disorder of glycosylation type 1D
ALG6	Congenital disorder of glycosylation type 1C
ALG8	Congenital disorder of glycosylation type 1H;POLYCYSTIC LIVER DISEASE 3 WITH OR WITHOUT KIDNEY CYSTS
ALG9	Gillessen-Kaesbach-Nishimura dysplasia;Gillessen-Kaesbach-Nishimura syndrome;ALG9 congenital disorder of glycosylation
ALK	Rhabdomyosarcoma;Non-small cell lung cancer;Neuroblastoma;Neoplasm of the breast;Neuroblastoma 3;Lung adenocarcinoma;Neoplasm of brain
ALMS1	Alstrom syndrome;Premature ovarian failure;Retinal dystrophy
ALOX12B	Autosomal recessive congenital ichthyosis 2;Ichthyosis
ALOXE3	Autosomal recessive congenital ichthyosis 2;Ichthyosis;Autosomal recessive congenital ichthyosis 3
ALPK1	ROSAH syndrome
ALPK3	Primary familial hypertrophic cardiomyopathy;CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC 27;Cardiomyopathy
ALPL	Odontohypophosphatasia;Infantile hypophosphatasia;Hypophosphatasia, perinatal lethal;Low alkaline phosphatase;Adult hypophosphatasia;Skeletal dysplasia;Childhood hypophosphatasia;Hypophosphatasia
ALS2	Amyotrophic lateral sclerosis type 2;Peripheral axonal neuropathy;Juvenile primary lateral sclerosis;Inborn genetic diseases;Infantile-onset ascending hereditary spastic paralysis
ALX1	Frontonasal dysplasia 3
ALX3	Frontonasal dysplasia 1
ALX4	Frontonasal dysplasia 2;Craniosynostosis 5, susceptibility to;Parietal foramina 2;Inborn genetic diseases
AMACR	Bile acid synthesis defect, congenital, 4
AMBN	Amelogenesis imperfecta, type IF
AMELX	Amelogenesis imperfecta, type 1E, with snow-capped teeth;Amelogenesis imperfecta, type 1E
AMER1	Osteopathia striata with cranial sclerosis
AMH	Persistent mullerian duct syndrome, type I
AMHR2	Persistent mullerian duct syndrome, type II
AMMECR1	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis;Short stature
AMN	Cobalamin deficiency;Megaloblastic anemia 1, Norwegian type;Megaloblastic anemia due to inborn errors of metabolism;Megaloblastic anemia
AMOT	Cerebral visual impairment and intellectual disability
AMPD2	Global developmental delay;Brain malformation;Inborn genetic diseases;Seizures;Spastic paraplegia 63, autosomal recessive;Pontocerebellar hypoplasia, type 9
AMPD3	Erythrocyte AMP deaminase deficiency
AMT	Non-ketotic hyperglycinemia
ANG	Amyotrophic lateral sclerosis type 9
ANGPTL3	Hypobetalipoproteinemia, familial, 2
ANK1	Spherocytosis type 1;Spherocytosis, type 1, autosomal recessive
ANK2	Long QT syndrome;Congenital long QT syndrome;Cardiac arrhythmia, ankyrin B-related
ANK3	Abnormality of brain morphology;Mental retardation, autosomal recessive 37
ANKH	Craniometaphyseal dysplasia, autosomal dominant;Chondrocalcinosis 2;Chondrocalcinosis 2, sporadic
ANKLE2	Microcephaly;Microcephaly 16, primary, autosomal recessive
ANKRD11	Hypertelorism;Hypermetropia;Intellectual disability;Retrognathia;KBG syndrome;Autism spectrum disorder;Global developmental delay;Epicanthus;Esotropia;Moderate intellectual deficiency;Wide nasal bridge;Inborn genetic diseases;Astigmatism;Cryptorchidism
ANKRD26	Thrombocytopenia 2
ANKS3	Short stature
ANKS6	Nephronophthisis 16
ANLN	Focal segmental glomerulosclerosis 8
ANO10	Spinocerebellar ataxia, autosomal recessive 10
ANO3	Inborn genetic diseases;Dystonia 24
ANO5	Muscular Diseases;Limb-girdle muscular dystrophy, type 2L;Miyoshi muscular dystrophy 3;Gnathodiaphyseal dysplasia;Elevated serum creatine phosphokinase
ANOS1	Delayed puberty;Schizophrenia;Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1);Autistic disorder of childhood onset;Kallmann syndrome 1;Inborn genetic diseases;Hypogonadotropic hypogonadism 7 with or without anosmia
ANTXR1	Hemangioma, capillary infantile;Odontotrichomelic syndrome
ANTXR2	Hyaline fibromatosis syndrome
ANXA11	AMYOTROPHIC LATERAL SCLEROSIS 23
AP1S1	Mental retardation, enteropathy, deafness, peripheral neuropathy, ichthyosis, and keratoderma
AP1S2	Schizophrenia;Pettigrew syndrome;Autistic disorder of childhood onset
AP1S3	Psoriasis 15, pustular, susceptibility to
AP2S1	Hypocalciuric hypercalcemia, familial, type III
AP3B1	Hermansky Pudlak syndrome 2
AP3B2	Epileptic encephalopathy, early infantile, 48
AP3D1	Hermansky-Pudlak syndrome 10
AP4B1	Spastic paraplegia 47, autosomal recessive;Abnormality of brain morphology;Inborn genetic diseases
AP4E1	Stuttering, familial persistent 1;Spastic paraplegia 51, autosomal recessive;Spastic paraplegia
AP4M1	Global developmental delay;CNS hypomyelination;Brain atrophy;Spastic paraplegia 50, autosomal recessive;Hypoplasia of the corpus callosum;Microcephaly;Inborn genetic diseases
AP4S1	Spastic paraplegia 52, autosomal recessive;Spastic paraplegia;Inborn genetic diseases
AP5Z1	Spastic paraplegia 48, autosomal recessive
APBA2	Schizophrenia
APC	Periampullary adenoma;Desmoid tumors;Lung adenocarcinoma;Desmoid disease, hereditary;Carcinoma of colon;Hereditary cancer-predisposing syndrome;Malignant Colorectal Neoplasm;Familial multiple polyposis syndrome;Hepatocellular carcinoma;Familial adenomatous polyposis 1;Familial adenomatous polyposis;Hepatoblastoma;Neoplasm;Familial colorectal cancer;Adenomatous colonic polyposis;Gardner syndrome;Colorectal cancer, susceptibility to;Neoplasm of stomach;Neoplasm of the large intestine
APC2	Sotos syndrome 3
APCDD1	Hypotrichosis simplex
APOA1	APOLIPOPROTEIN A-I (MUNSTER3C);Tangier disease;APOLIPOPROTEIN A-I (MARBURG);APOLIPOPROTEIN A-I (MUNSTER3B);APOLIPOPROTEIN A-I (MUNSTER4);Xanthelasmas, periorbital;Apolipoprotein A-I deficiency;APOLIPOPROTEIN A-I (MILANO);Familial amyloid polyneuropathy, Iowa type;APOLIPOPROTEIN A-I (GIESSEN);Decreased circulating high-density lipoprotein levels;Amyloidosis, cardiac and cutaneous;APOLIPOPROTEIN A-I (NORWAY);Familial visceral amyloidosis, Ostertag type
APOA4	APOLIPOPROTEIN A-IV POLYMORPHISM, APOA4*1/APOA4*2
APOA5	Hypertriglyceridemia, susceptibility to;Familial type 5 hyperlipoproteinemia
APOB	Hypobetalipoproteinemia;Hypercholesterolemia, autosomal dominant, type B;Familial hypercholesterolemia;Familial hypobetalipoproteinemia;Hypobetalipoproteinemia, familial, 1;Hypobetalipoproteinemia, normotriglyceridemic
APOC2	APOLIPOPROTEIN C-II (WAKAYAMA);Apolipoprotein C2 deficiency;APOLIPOPROTEIN C-II (AFRICAN);APOLIPOPROTEIN C-II (AUCKLAND);APOLIPOPROTEIN C-II (BARI);Apolipoprotein c-ii variant;APOLIPOPROTEIN C-II (SAN FRANCISCO);APOLIPOPROTEIN C-II (PADOVA);APOLIPOPROTEIN C-II (PARIS)
APOC3	Apolipoprotein c-iii, nonglycosylated;Hyperalphalipoproteinemia 2;Coronary heart disease
APOE	Abnormality of lipid metabolism;APOE4(+);Familial type 3 hyperlipoproteinemia;Sea-blue histiocyte syndrome;APOE3(-)-FREIBURG;APOE5 VARIANT;APOE4 VARIANT;Lipoprotein glomerulopathy;HYPERLIPOPROTEINEMIA, TYPE III, AND ATHEROSCLEROSIS ASSOCIATED WITH APOE5;Myocardial infarction;APOE2 VARIANT;APOE2-DUNEDIN
APOL1	Focal segmental glomerulosclerosis 4, susceptibility to
APP	Cerebral amyloid angiopathy, APP-related;Alzheimers disease;Alzheimer disease, type 1
APPL1	Maturity-onset diabetes of the young, type 14
APRT	Adenine phosphoribosyltransferase deficiency;APRT deficiency, Japanese type
APTX	Ataxia-oculomotor apraxia type 1
AQP1	COLTON-NULL PHENOTYPE
AQP2	Nephrogenic diabetes insipidus;Nephrogenic diabetes insipidus, autosomal;Diabetes insipidus, nephrogenic, autosomal dominant;Diabetes insipidus, nephrogenic, autosomal recessive
AQP4	Intellectual functioning disability
AQP5	Diffuse palmoplantar keratoderma, Bothnian type
AR	Schizophrenia;Androgen resistance syndrome;Autistic disorder of childhood onset;Prostate cancer susceptibility;Prostate cancer, somatic;Kennedy disease);Androgen insensitivity, partial, with breast cancer;Absent pubic hair;Bulbo-spinal atrophy X-linked;Female external genitalia in individual with 46,XY karyotype;Absent axillary hair;Partial androgen insensitivity syndrome;Malignant tumor of prostate;Aplasia of the uterus;Hypospadias 1, X-linked
ARCN1	Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay
ARF1	PERIVENTRICULAR NODULAR HETEROTOPIA 8
ARFGEF2	Heterotopia, periventricular, autosomal recessive
ARG1	Arginase deficiency
ARHGAP11A	Inborn genetic diseases
ARHGAP21	Abnormality of brain morphology
ARHGAP26	Juvenile myelomonocytic leukemia
ARHGAP29	Nonsyndromic cleft lip with or without cleft palate
ARHGAP31	Adams-Oliver syndrome 1
ARHGDIA	Nephrotic syndrome, type 8
ARHGEF1	IMMUNODEFICIENCY 62
ARHGEF10	Slowed nerve conduction velocity, autosomal dominant
ARHGEF10L	Cerebral visual impairment and intellectual disability
ARHGEF15	Early infantile epileptic encephalopathy
ARHGEF18	Retinitis pigmentosa 78
ARHGEF2	Neurodevelopmental disorder with midbrain and hindbrain malformations
ARHGEF9	Schizophrenia;Autistic disorder of childhood onset;Inborn genetic diseases;Early infantile epileptic encephalopathy 8
ARID1A	Periventricular leukomalacia;Absent speech;Seizures;Congenital cerebellar hypoplasia;Mental retardation, autosomal dominant 14;Microcephaly;Inborn genetic diseases;Severe global developmental delay
ARID1B	Coffin-Siris syndrome;Intellectual disability;Thick lower lip vermilion;Neurological speech impairment;Bilateral cryptorchidism;Global developmental delay;Delayed speech and language development;Long eyelashes;Coffin-Siris syndrome 1;History of neurodevelopmental disorder;Intellectual disability, moderate;intellectual deficiency;Thin upper lip vermilion;Agenesis of corpus callosum;Coffin Siris/Intellectual Disability;Absent speech;Nicolaides-Baraitser syndrome;Hypertrichosis;dysmorphy;Nail dysplasia;Neonatal hypotonia;Blepharophimosis;Inborn genetic diseases
ARID2	COFFIN-SIRIS SYNDROME 6;Inborn genetic diseases;Adenoid cystic carcinoma
ARL13B	Joubert syndrome 8;Joubert Syndrome and Related Disorders
ARL16	Childhood-Onset Schizophrenia
ARL2BP	Retinitis pigmentosa 82 with or without situs inversus;Retinal dystrophy
ARL3	JOUBERT SYNDROME 35
ARL6	Retinitis pigmentosa;Bardet-Biedl syndrome 1, modifier of;Bardet-Biedl syndrome 3;Bardet-Biedl syndrome;Retinitis pigmentosa 55
ARL6IP1	Spastic paraplegia 61, autosomal recessive
ARMC2	Sperm tail anomaly;SPERMATOGENIC FAILURE 38;Male infertility with teratozoospermia due to single gene mutation
ARMC4	Ciliary dyskinesia;Kartagener syndrome;Primary ciliary dyskinesia 23
ARMC5	Acth-independent macronodular adrenal hyperplasia 2
ARMC9	JOUBERT SYNDROME 30;ARMC9-related Joubert syndrome
ARPC1B	PLATELET ABNORMALITIES WITH EOSINOPHILIA AND IMMUNE-MEDIATED INFLAMMATORY DISEASE
ARR3	MYOPIA 26, X-LINKED, FEMALE-LIMITED
ARSA	Metachromatic leukodystrophy, juvenile type;Arylsulfatase a pseudodeficiency, severe;Metachromatic leukodystrophy;Metachromatic leukodystrophy, adult type;Arylsulfatase A pseudodeficiency;Metachromatic leukodystrophy, mild;Metachromatic leukodystrophy, severe
ARSB	Metachromatic leukodystrophy;Mucopolysaccharidosis, type vi, severe;Mucopolysaccharidosis type VI
