Ensg	Hgnc	Rank	Zscore	HP:0002069	HP:0002121	HP:0011198
ENSG00000171885	AQP4	60	8.247	5.067	6.464	2.754
ENSG00000183715	OPCML	61	8.221	4.39	6.094	3.754
ENSG00000260903	XKR7	62	8.176	4.351	3.948	5.862
ENSG00000168959	GRM5	63	8.151	5.802	5.511	2.806
ENSG00000197430	OPALIN	64	8.138	5.761	5.594	2.741
ENSG00000198822	GRM3	65	8.132	5.022	6.157	2.905
ENSG00000107295	SH3GL2	66	8.127	4.43	5.651	3.996
ENSG00000144406	UNC80	67	8.125	5.459	3.999	4.614
ENSG00000070808	CAMK2A	68	8.024	4.965	6.533	2.401
ENSG00000179292	TMEM151A	69	7.944	4.672	4.27	4.818
ENSG00000065609	SNAP91	70	7.895	2.836	5.695	5.144
ENSG00000147481	SNTG1	71	7.88	3.968	5.158	4.524
ENSG00000122584	NXPH1	72	7.845	3.527	5.127	4.934
ENSG00000231824	AKAIN1	73	7.834	4.736	5.21	3.623
ENSG00000186479	RGS7BP	74	7.818	4.107	5.493	3.941
ENSG00000186487	MYT1L	75	7.785	5.441	4.558	3.484
ENSG00000254377	MIR124-2HG	76	7.756	3.369	6.807	3.256
ENSG00000148408	CACNA1B	77	7.746	4.43	2.694	6.292
ENSG00000147724	FAM135B	78	7.739	4.358	3.817	5.23
ENSG00000196361	ELAVL3	79	7.713	3.76	4.248	5.352
ENSG00000162374	ELAVL4	80	7.666	4.221	4.541	4.517
ENSG00000006116	CACNG3	81	7.663	4.028	6.182	3.062
ENSG00000164600	NEUROD6	82	7.614	4.775	4.882	3.531
ENSG00000166006	KCNC2	83	7.556	3.78	5.765	3.542
ENSG00000164061	BSN	84	7.548	2.416	5.084	5.572
ENSG00000166448	TMEM130	85	7.547	5.097	5.197	2.778
ENSG00000059915	PSD	86	7.543	3.755	5.245	4.065
ENSG00000163285	GABRG1	87	7.509	3.822	5.772	3.412
ENSG00000178235	SLITRK1	88	7.506	4.517	5.251	3.233
ENSG00000136267	DGKB	89	7.49	4.393	4.301	4.279
ENSG00000188674	C2orf80	90	7.487	3.854	6.113	3.001
ENSG00000178965	ERICH3	91	7.462	2.702	5.634	4.589
ENSG00000101958	GLRA2	92	7.45	4.942	5.619	2.344
ENSG00000167654	ATCAY	93	7.414	5.003	3.455	4.382
ENSG00000105409	ATP1A3	94	7.389	4.221	5.33	3.246
ENSG00000221946	FXYD7	95	7.382	4.295	5.66	2.832
ENSG00000104112	SCG3	96	7.36	4.306	1.973	6.468
ENSG00000101746	NOL4	97	7.322	3.289	4.171	5.223
ENSG00000225630	MTND2P28	98	7.302	13.824	-0.745	-0.431
ENSG00000171385	KCND3	99	7.3	2.869	4.172	5.603
ENSG00000172209	GPR22	100	7.28	4.459	5.605	2.544
ENSG00000184524	CEND1	101	7.278	3.755	5.826	3.025
ENSG00000146216	TTBK1	102	7.251	3.458	4.953	4.148
ENSG00000130477	UNC13A	103	7.244	2.928	4.156	5.462
ENSG00000176381	PRR18	104	7.23	3.997	4.211	4.315
ENSG00000104435	STMN2	105	7.227	4.733	4.645	3.14
ENSG00000147488	ST18	106	7.204	3.729	3.699	5.05
ENSG00000152932	RAB3C	107	7.159	3.747	4.428	4.225
ENSG00000233508		108	7.139	3.366	4.569	4.431
ENSG00000146352	CLVS2	109	7.125	3.648	5.545	3.148
ENSG00000091664	SLC17A6	110	7.123	4.272	4.697	3.369
ENSG00000136297	MMD2	111	7.1	4.558	4.848	2.892
ENSG00000089169	RPH3A	112	7.1	3.722	5.144	3.432
ENSG00000021645	NRXN3	113	7.067	2.897	6.375	2.969
ENSG00000152822	GRM1	114	7.06	4.082	4.172	3.973
ENSG00000169006	NTSR2	115	7.056	5.595	3.883	2.744
ENSG00000101180	HRH3	116	7.018	4.681	4.238	3.237
ENSG00000148396	SEC16A	117	7.001	2.109	4.549	5.469
ENSG00000100604	CHGA	118	6.984	3.32	3.358	5.419
ENSG00000118160	SLC8A2	119	6.962	3.94	3.331	4.788
ENSG00000156959	LHFPL4	120	6.948	3.876	3.846	4.312
ENSG00000170419	VSTM2A	121	6.935	4.334	3.663	4.015
ENSG00000171450	CDK5R2	122	6.934	3.791	3.556	4.663
ENSG00000103034	NDRG4	123	6.923	4.554	5.167	2.27
ENSG00000010404	IDS	124	6.917	3.428	4.643	3.91
ENSG00000260230	FRRS1L	125	6.913	4.556	4.765	2.651
ENSG00000152583	SPARCL1	126	6.91	3.827	5.004	3.137
ENSG00000177301	KCNA2	127	6.899	3.01	5.623	3.316
ENSG00000147588	PMP2	128	6.881	3.926	4.726	3.267
ENSG00000163630	SYNPR	129	6.881	3.497	4.952	3.469
ENSG00000167281	RBFOX3	130	6.877	5.002	4.739	2.17
ENSG00000196090	PTPRT	131	6.868	3.345	4.298	4.252
ENSG00000054803	CBLN4	132	6.86	3.399	4.376	4.107
ENSG00000174521	TTC9B	133	6.822	3.849	5.54	2.427
ENSG00000273079	GRIN2B	134	6.82	2.795	6.017	3.0
ENSG00000116147	TNR	135	6.818	3.995	3.591	4.223
ENSG00000116254	CHD5	136	6.805	3.937	4.579	3.271
ENSG00000179796	LRRC3B	137	6.805	4.67	4.564	2.552
ENSG00000196071	OR2L13	138	6.771	4.153	6.133	1.442
ENSG00000168490	PHYHIP	139	6.77	3.489	4.732	3.506
ENSG00000162188	GNG3	140	6.755	4.527	4.872	2.301
ENSG00000237949	LINC00844	141	6.738	2.162	5.449	4.059
ENSG00000232044	LINC01105	142	6.71	4.369	4.874	2.38
ENSG00000186675	MAGEE2	143	6.701	4.321	4.401	2.885
ENSG00000145864	GABRB2	144	6.698	4.146	5.806	1.649
ENSG00000146005	PSD2	145	6.694	2.951	4.527	4.115
ENSG00000113327	GABRG2	146	6.687	4.333	4.801	2.448
ENSG00000196876	SCN8A	147	6.686	3.0	3.377	5.203
ENSG00000165553	NGB	148	6.67	3.568	4.678	3.308
ENSG00000154975	CA10	149	6.665	3.52	5.572	2.451
ENSG00000105649	RAB3A	150	6.655	3.114	4.634	3.779
ENSG00000136531	SCN2A	151	6.641	3.731	4.772	3.0
ENSG00000110786	PTPN5	152	6.635	3.228	5.021	3.243
ENSG00000176840	MIR7-3HG	153	6.635	2.675	3.648	5.169
ENSG00000177108	ZDHHC22	154	6.629	3.455	3.609	4.417
ENSG00000196277	GRM7	155	6.626	3.575	6.098	1.804
ENSG00000146006	LRRTM2	156	6.597	2.391	5.845	3.191
ENSG00000183783	KCTD8	157	6.569	2.875	4.708	3.795
ENSG00000174453	VWC2L	158	6.54	3.214	4.939	3.174
ENSG00000260664		159	6.52	4.42	3.463	3.41
ENSG00000169933	FRMPD4	160	6.504	2.494	5.041	3.731
ENSG00000133958	UNC79	161	6.494	2.651	3.321	5.276
ENSG00000230910		162	6.484	3.346	4.596	3.289
ENSG00000157005	SST	163	6.451	3.808	3.124	4.241
ENSG00000210196	MT-TP	164	6.421	12.261	-0.341	-0.799
ENSG00000165566	AMER2	165	6.419	4.157	5.724	1.237
ENSG00000187730	GABRD	166	6.412	3.882	2.098	5.125
ENSG00000125462	C1orf61	167	6.409	4.382	3.166	3.553
ENSG00000209082	MT-TL1	168	6.399	10.375	-0.692	1.4
ENSG00000149575	SCN2B	169	6.389	4.246	5.381	1.438
ENSG00000111262	KCNA1	170	6.376	2.981	5.14	2.922
ENSG00000204065	TCEAL5	171	6.371	3.857	4.298	2.879
ENSG00000130643	CALY	172	6.361	4.226	3.061	3.731
ENSG00000166963	MAP1A	173	6.346	3.147	5.454	2.39
ENSG00000145920	CPLX2	174	6.335	3.53	3.846	3.598
ENSG00000168280	KIF5C	175	6.331	3.307	3.046	4.613
ENSG00000135298	ADGRB3	176	6.329	3.783	4.18	3.0
ENSG00000107147	KCNT1	177	6.326	3.392	3.3	4.265
ENSG00000100884	CPNE6	178	6.314	3.729	4.4	2.807
ENSG00000184144	CNTN2	179	6.301	3.569	4.125	3.221
ENSG00000157103	SLC6A1	180	6.297	3.803	4.103	3.0
ENSG00000210194	MT-TE	181	6.293	11.518	-0.259	-0.359
ENSG00000177875	CCDC184	182	6.274	2.733	4.207	3.927
ENSG00000227544		183	6.27	4.305	3.999	2.556
ENSG00000129244	ATP1B2	184	6.266	3.729	3.639	3.485
ENSG00000124507	PACSIN1	185	6.263	3.565	4.229	3.054
ENSG00000116544	DLGAP3	186	6.251	4.049	1.976	4.801
ENSG00000255082	GRM5-AS1	187	6.244	3.101	5.339	2.375
ENSG00000148482	SLC39A12	188	6.243	3.851	5.371	1.59
ENSG00000008735	MAPK8IP2	189	6.237	1.95	3.128	5.726
ENSG00000125814	NAPB	190	6.232	4.487	4.271	2.036
ENSG00000104722	NEFM	191	6.228	2.125	4.629	4.034
ENSG00000078053	AMPH	192	6.228	2.786	3.775	4.226
ENSG00000011083	SLC6A7	193	6.22	3.031	5.868	1.874
ENSG00000210151	MT-TS1	194	6.212	9.367	1.433	-0.04
ENSG00000267909	CCDC177	195	6.205	4.322	4.387	2.039
ENSG00000139220	PPFIA2	196	6.201	3.502	4.774	2.464
ENSG00000186369	LINC00643	197	6.194	4.176	3.493	3.061
ENSG00000108309	RUNDC3A	198	6.19	1.897	4.163	4.661
ENSG00000183775	KCTD16	199	6.165	3.192	4.382	3.104
ENSG00000118733	OLFM3	200	6.165	3.146	5.686	1.845
ENSG00000188803	SHISA6	201	6.156	3.437	2.862	4.365
ENSG00000139970	RTN1	202	6.152	3.75	3.15	3.756
ENSG00000104967	NOVA2	203	6.149	4.018	2.048	4.584
ENSG00000103184	SEC14L5	204	6.139	4.189	4.376	2.067
ENSG00000118432	CNR1	205	6.131	1.687	4.388	4.545
ENSG00000063015	SEZ6	206	6.127	3.134	3.512	3.966
ENSG00000150656	CNDP1	207	6.124	4.229	4.13	2.247
ENSG00000168993	CPLX1	208	6.118	3.0	3.0	4.597
ENSG00000104381	GDAP1	209	6.117	2.15	3.593	4.852
ENSG00000149654	CDH22	210	6.112	3.247	3.143	4.195
ENSG00000144834	TAGLN3	211	6.085	3.645	3.792	3.103
ENSG00000144290	SLC4A10	212	6.083	4.947	4.111	1.478
ENSG00000132975	GPR12	213	6.076	3.591	3.991	2.942
ENSG00000159140	SON	214	6.073	2.946	3.615	3.957
ENSG00000162992	NEUROD1	215	6.071	3.442	4.204	2.868
ENSG00000117598	PLPPR5	216	6.058	2.751	4.106	3.636
ENSG00000186231	KLHL32	217	6.057	4.283	4.842	1.366
ENSG00000164398	ACSL6	218	6.046	3.448	3.422	3.603
ENSG00000115266	APC2	219	6.043	2.841	3.484	4.143
ENSG00000087250	MT3	220	6.021	4.812	2.97	2.646
ENSG00000125675	GRIA3	221	5.985	3.405	3.769	3.192
ENSG00000160460	SPTBN4	222	5.979	3.292	3.66	3.404
ENSG00000166862	CACNG2	223	5.979	2.261	5.014	3.081
ENSG00000167371	PRRT2	224	5.979	3.043	4.213	3.1
ENSG00000104888	SLC17A7	225	5.969	3.85	4.569	1.919
ENSG00000157087	ATP2B2	226	5.964	3.535	3.954	2.841
ENSG00000058404	CAMK2B	227	5.944	3.898	1.885	4.513
ENSG00000020129	NCDN	228	5.942	1.467	4.159	4.665
ENSG00000181215	C4orf50	229	5.933	2.827	2.965	4.485
ENSG00000136541	ERMN	230	5.926	2.51	4.407	3.348
ENSG00000111783	RFX4	231	5.924	3.918	3.368	2.974
ENSG00000169918	OTUD7A	232	5.896	2.057	3.043	5.113
ENSG00000184672	RALYL	233	5.869	4.175	4.09	1.9
ENSG00000170500	LONRF2	234	5.863	3.61	3.279	3.266
ENSG00000198744	MTCO3P12	235	5.852	10.084	-0.814	0.865
ENSG00000105290	APLP1	236	5.852	2.706	4.087	3.342
ENSG00000153820	SPHKAP	237	5.843	2.279	5.491	2.349
ENSG00000160716	CHRNB2	238	5.842	2.946	2.129	5.044
ENSG00000071553	ATP6AP1	239	5.841	4.515	2.368	3.233
ENSG00000280776	LINC01202	240	5.835	2.724	5.539	1.843
ENSG00000253457	SMIM18	241	5.825	2.587	4.476	3.025
ENSG00000210144	MT-TY	242	5.82	11.859	-0.893	-0.886
ENSG00000172568	FNDC9	243	5.795	4.202	4.365	1.469
ENSG00000198739	LRRTM3	244	5.793	3.514	3.541	2.978
ENSG00000277494	GPIHBP1	245	5.77	3.515	3.052	3.426
ENSG00000112309	B3GAT2	246	5.769	4.285	3.398	2.31
ENSG00000182667	NTM	247	5.755	2.459	4.707	2.801
ENSG00000182132	KCNIP1	248	5.736	3.396	4.264	2.275
ENSG00000260122		249	5.731	3.747	2.623	3.557
ENSG00000174871	CNIH2	250	5.724	3.114	2.826	3.975
ENSG00000149571	KIRREL3	251	5.718	3.621	4.034	2.249
ENSG00000156395	SORCS3	252	5.685	2.001	4.535	3.311
ENSG00000129990	SYT5	253	5.675	3.187	2.938	3.704
ENSG00000166257	SCN3B	254	5.672	2.551	2.867	4.406
ENSG00000075043	KCNQ2	255	5.661	3.277	1.172	5.356
ENSG00000139352	ASCL1	256	5.658	3.59	2.142	4.068
ENSG00000171368	TPPP	257	5.657	2.104	4.515	3.18
ENSG00000184258	CDR1	258	5.64	2.62	5.026	2.122
ENSG00000126950	TMEM35A	259	5.634	3.389	4.426	1.944
ENSG00000050438	SLC4A8	260	5.612	2.987	3.527	3.207
ENSG00000243902		261	5.608	2.744	3.534	3.436
ENSG00000196972	SMIM10L2B	262	5.605	2.315	4.174	3.219
ENSG00000166897	ELFN2	263	5.586	3.747	3.336	2.593
ENSG00000214694	ARHGEF33	264	5.585	3.45	4.65	1.572
ENSG00000092051	JPH4	265	5.575	2.797	3.986	2.874
ENSG00000210195	MT-TT	266	5.573	8.805	-0.853	1.7
ENSG00000242808	SOX2-OT	267	5.567	2.443	4.509	2.69
ENSG00000233670	PIRT	268	5.562	4.125	3.167	2.341
ENSG00000105784	RUNDC3B	269	5.551	2.11	4.872	2.633
ENSG00000203877	RIPPLY2	270	5.548	2.218	3.348	4.044
ENSG00000110436	SLC1A2	271	5.535	3.527	3.061	3.0
ENSG00000008056	SYN1	272	5.527	2.257	2.025	5.291
ENSG00000010282	HHATL	273	5.489	4.299	3.003	2.205
ENSG00000058335	RASGRF1	274	5.482	4.545	2.925	2.024
ENSG00000274682		275	5.48	2.405	4.746	2.34
ENSG00000174145	NWD2	276	5.479	2.352	4.061	3.076
ENSG00000260293		277	5.476	3.142	3.903	2.44
ENSG00000210112	MT-TM	278	5.451	6.07	2.112	1.259
ENSG00000074211	PPP2R2C	279	5.447	2.092	2.99	4.354
ENSG00000250366	TUNAR	280	5.446	3.167	2.924	3.342
ENSG00000130540	SULT4A1	281	5.436	4.253	1.935	3.227
ENSG00000157782	CABP1	282	5.43	3.263	3.025	3.117
ENSG00000168939	SPRY3	283	5.429	2.185	4.684	2.535
ENSG00000105695	MAG	284	5.427	4.125	3.006	2.268
ENSG00000152093	CFC1B	285	5.425	3.386	3.396	2.614
ENSG00000124140	SLC12A5	286	5.42	3.0	4.284	2.103
ENSG00000148053	NTRK2	287	5.417	1.613	4.44	3.33
ENSG00000175766	EIF4E1B	288	5.402	2.68	4.661	2.016
ENSG00000101542	CDH20	289	5.385	3.71	5.034	0.583
ENSG00000078328	RBFOX1	290	5.383	3.896	3.324	2.103
ENSG00000185046	ANKS1B	291	5.381	3.074	3.996	2.25
ENSG00000185518	SV2B	292	5.365	2.806	2.997	3.489
ENSG00000172020	GAP43	293	5.363	2.087	3.195	4.007
ENSG00000169169	CPT1C	294	5.354	2.765	5.087	1.421
ENSG00000105696	TMEM59L	295	5.348	4.345	2.377	2.542
ENSG00000075035	WSCD2	296	5.337	3.612	3.549	2.084
ENSG00000174514	MFSD4A	297	5.333	3.344	4.974	0.92
ENSG00000095981	KCNK16	298	5.326	3.291	0.091	5.844
ENSG00000116983	HPCAL4	299	5.318	3.758	2.788	2.665
ENSG00000124493	GRM4	300	5.316	3.382	3.299	2.526
ENSG00000185742	C11orf87	301	5.311	2.425	4.006	2.767
ENSG00000183248	PRR36	302	5.305	2.271	1.95	4.967
ENSG00000183166	CALN1	303	5.274	3.222	3.327	2.586
ENSG00000267651		304	5.266	2.219	3.592	3.31
ENSG00000161082	CELF5	305	5.258	2.434	4.367	2.306
ENSG00000105605	CACNG7	306	5.246	3.702	1.853	3.531
ENSG00000188730	VWC2	307	5.228	2.722	4.107	2.225
ENSG00000160209	PDXK	308	5.207	3.515	3.828	1.676
ENSG00000119185	ITGB1BP1	309	5.198	1.693	4.455	2.856
ENSG00000096093	EFHC1	310	5.196	3.0	3.0	3.0
ENSG00000136854	STXBP1	311	5.196	3.0	3.0	3.0
ENSG00000156113	KCNMA1	312	5.196	3.0	3.0	3.0
ENSG00000160213	CSTB	313	5.196	3.0	3.0	3.0
ENSG00000162065	TBC1D24	314	5.196	3.0	3.0	3.0
ENSG00000173575	CHD2	315	5.196	3.0	3.0	3.0
ENSG00000152208	GRID2	316	5.178	2.416	5.602	0.951
ENSG00000235711	ANKRD34C	317	5.176	3.972	3.207	1.786
ENSG00000185808	PIGP	318	5.163	1.579	1.894	5.469
ENSG00000196338	NLGN3	319	5.144	4.018	3.137	1.754
ENSG00000171435	KSR2	320	5.144	3.398	2.869	2.642
ENSG00000136828	RALGPS1	321	5.141	2.604	2.136	4.164
ENSG00000182771	GRID1	322	5.138	3.449	1.717	3.734
ENSG00000144285	SCN1A	323	5.138	3.0	3.0	2.899
ENSG00000135472	FAIM2	324	5.131	2.112	4.962	1.813
ENSG00000273301		325	5.127	2.977	3.224	2.679
ENSG00000126861	OMG	326	5.125	2.965	3.684	2.228
ENSG00000225110	PNMA6F	327	5.12	1.977	3.836	3.055
ENSG00000186732	MPPED1	328	5.112	2.401	3.168	3.285
ENSG00000229344	MTCO2P12	329	5.106	10.24	-1.579	0.184
ENSG00000224924	LINC00320	330	5.099	4.18	4.14	0.51
ENSG00000110887	DAO	331	5.084	3.584	4.521	0.701
ENSG00000089199	CHGB	332	5.082	2.956	1.957	3.888
ENSG00000163618	CADPS	333	5.063	2.561	1.842	4.367
ENSG00000225683	PACRG-AS3	334	5.058	3.77	2.902	2.089
ENSG00000099365	STX1B	335	5.058	3.0	4.022	1.738
ENSG00000167037	SGSM1	336	5.057	3.125	1.727	3.907
ENSG00000235142	LINC02532	337	5.053	2.697	2.468	3.587
ENSG00000152254	G6PC2	338	5.038	4.563	0.721	3.442
ENSG00000186472	PCLO	339	5.035	2.119	3.066	3.535
ENSG00000260878		340	5.013	2.789	3.661	2.232
ENSG00000120088	CRHR1	341	5.008	2.952	2.99	2.732
ENSG00000130226	DPP6	342	5.001	2.642	2.029	3.992
ENSG00000164588	HCN1	343	4.994	3.825	3.175	1.651
ENSG00000109158	GABRA4	344	4.987	2.71	1.77	4.157
ENSG00000079841	RIMS1	345	4.985	2.905	3.675	2.054
ENSG00000260196		346	4.984	3.948	1.537	3.148
ENSG00000198932	GPRASP1	347	4.976	2.976	3.763	1.879
ENSG00000124194	GDAP1L1	348	4.962	2.551	2.995	3.049
ENSG00000088367	EPB41L1	349	4.96	3.562	3.809	1.22
ENSG00000171532	NEUROD2	350	4.957	2.354	3.327	2.905
ENSG00000187323	DCC	351	4.955	1.473	3.767	3.342
ENSG00000157152	SYN2	352	4.937	3.862	1.693	2.996
ENSG00000211459	MT-RNR1	353	4.932	11.717	-1.393	-1.781
ENSG00000230551		354	4.928	6.081	1.41	1.045
ENSG00000197971	MBP	355	4.927	3.203	3.399	1.931
ENSG00000204851	PNMA8B	356	4.926	1.295	4.234	3.003
ENSG00000156564	LRFN2	357	4.911	2.507	2.667	3.331
ENSG00000184388	PABPC1L2B	358	4.899	4.089	2.663	1.734
ENSG00000150361	KLHL1	359	4.896	2.809	2.941	2.73
ENSG00000083067	TRPM3	360	4.894	2.39	2.936	3.15
ENSG00000220205	VAMP2	361	4.891	2.229	3.131	3.111
ENSG00000213760	ATP6V1G2	362	4.888	1.825	3.763	2.877
ENSG00000166206	GABRB3	363	4.887	3.0	3.0	2.464
ENSG00000140450	ARRDC4	364	4.885	3.263	4.155	1.043
ENSG00000077279	DCX	365	4.872	2.47	2.127	3.841
ENSG00000182901	RGS7	366	4.867	2.855	3.145	2.43
ENSG00000238083	LRRC37A2	367	4.863	3.41	3.257	1.755
ENSG00000144331	ZNF385B	368	4.857	2.908	3.025	2.479
ENSG00000272141		369	4.855	2.43	3.234	2.746
ENSG00000210135	MT-TN	370	4.846	9.992	-0.462	-1.137
ENSG00000225465	RFPL1S	371	4.843	3.277	3.114	1.997
ENSG00000126583	PRKCG	372	4.838	1.805	3.261	3.314
ENSG00000197106	SLC6A17	373	4.831	3.504	1.354	3.51
ENSG00000277117		374	4.831	2.061	4.591	1.715
ENSG00000172461	FUT9	375	4.82	2.297	3.321	2.729
ENSG00000182836	PLCXD3	376	4.817	1.744	4.543	2.057
ENSG00000140323	DISP2	377	4.816	1.927	3.358	3.056
ENSG00000164742	ADCY1	378	4.81	3.109	2.442	2.779
ENSG00000142549	IGLON5	379	4.807	1.696	2.139	4.491
ENSG00000188385	JAKMIP3	380	4.802	1.714	3.17	3.433
ENSG00000247381	PLUT	381	4.8	3.656	-0.365	5.022
ENSG00000108387	SEPT4	382	4.797	1.854	3.205	3.251
ENSG00000152578	GRIA4	383	4.796	3.179	2.205	2.922
ENSG00000197959	DNM3	384	4.794	2.298	4.353	1.654
ENSG00000054356	PTPRN	385	4.794	1.188	3.421	3.694
ENSG00000210107	MT-TQ	386	4.794	5.873	1.62	0.809
ENSG00000224795	NTM-AS1	387	4.787	2.372	4.2	1.72
ENSG00000117600	PLPPR4	388	4.785	2.831	2.879	2.577
ENSG00000181790	ADGRB1	389	4.782	2.348	1.402	4.532
ENSG00000224223	VSTM2A-OT1	390	4.775	2.134	3.997	2.138
ENSG00000111218	PRMT8	391	4.773	2.465	4.666	1.137
ENSG00000013293	SLC7A14	392	4.768	2.651	0.911	4.697
ENSG00000255330		393	4.768	3.004	2.025	3.23
ENSG00000233639	LINC01158	394	4.765	2.991	3.603	1.66
ENSG00000196091	MYBPC1	395	4.763	4.757	1.669	1.823
ENSG00000078549	ADCYAP1R1	396	4.759	3.219	1.99	3.035
ENSG00000077264	PAK3	397	4.735	3.046	3.552	1.603
ENSG00000101438	SLC32A1	398	4.731	2.904	2.338	2.953
ENSG00000135334	AKIRIN2	399	4.712	3.458	2.354	2.348
ENSG00000184905	TCEAL2	400	4.71	2.386	2.598	3.176
ENSG00000127561	SYNGR3	401	4.701	3.218	2.303	2.622
ENSG00000258986	TMEM179	402	4.699	3.972	0.186	3.981
ENSG00000105245	NUMBL	403	4.698	2.933	3.416	1.788
ENSG00000148798	INA	404	4.686	2.416	2.226	3.475
ENSG00000155506	LARP1	405	4.668	2.479	3.683	1.923
ENSG00000140538	NTRK3	406	4.667	2.309	4.1	1.674
ENSG00000210100	MT-TI	407	4.664	7.002	0.065	1.011
ENSG00000131711	MAP1B	408	4.662	2.018	2.145	3.913
ENSG00000142235	LMTK3	409	4.662	1.416	3.268	3.39
ENSG00000148826	NKX6-2	410	4.659	2.13	2.794	3.146
ENSG00000185736	ADARB2	411	4.657	2.598	2.605	2.863
ENSG00000173302	GPR148	412	4.653	3.427	-0.186	4.818
ENSG00000174672	BRSK2	413	4.648	2.43	0.049	5.572
ENSG00000066032	CTNNA2	414	4.647	3.281	1.468	3.299
ENSG00000141433	ADCYAP1	415	4.645	3.223	2.649	2.174
ENSG00000185105	MYADML2	416	4.644	3.348	3.519	1.177
ENSG00000214376	VSTM5	417	4.637	1.584	3.701	2.746
ENSG00000186868	MAPT	418	4.634	3.0	2.056	2.971
ENSG00000257151	PWAR6	419	4.622	3.744	1.952	2.309
ENSG00000274956		420	4.611	2.3	2.558	3.128
ENSG00000121653	MAPK8IP1	421	4.607	2.302	1.571	4.107
ENSG00000204655	MOG	422	4.606	4.355	3.058	0.563
